0:0:0:0:0:0:0:1 - - [12/Jun/2022:00:10:54 -0500] "GET /Store/ConfirmarCompra HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [12/Jun/2022:00:10:55 -0500] "GET /Store/VerificaComponentes HTTP/1.1" 200 16
127.0.0.1 - - [12/Jun/2022:13:17:29 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:13:17:29 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:13:17:29 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:13:17:29 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:13:17:29 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:13:17:29 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [12/Jun/2022:13:17:31 -0500] "GET /manager/text/list HTTP/1.1" 200 1348
127.0.0.1 - admin [12/Jun/2022:13:17:56 -0500] "GET /manager/text/reload?path=/Store HTTP/1.1" 200 75
127.0.0.1 - - [12/Jun/2022:13:17:56 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:13:17:56 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:13:17:57 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:13:17:57 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:13:17:57 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:13:17:57 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [12/Jun/2022:13:17:57 -0500] "GET /manager/text/list HTTP/1.1" 200 1348
127.0.0.1 - admin [12/Jun/2022:13:17:59 -0500] "GET /manager/text/reload?path=/Store HTTP/1.1" 200 75
127.0.0.1 - - [12/Jun/2022:13:17:59 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:13:17:59 -0500] "GET /manager/text/ HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:18:56 -0500] "GET /Store HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:18:56 -0500] "GET /Store/ HTTP/1.1" 200 10133
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:18:57 -0500] "GET /Store/ModalSucess.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:18:57 -0500] "GET /Store/SweetAlertModal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:18:57 -0500] "GET /Store/Estilos_2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:18:57 -0500] "GET /Store/jquery-3.3.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:18:57 -0500] "GET /Store/jquery-3.3.1.min.js HTTP/1.1" 304 -
